Common name,Scientific name,Order,Family,95% Lower CI,Abundance estimate,95% Upper CI,Range adjusted,Training species
McCown's Longspur,Rhynchophanes mccownii,Passeriformes,Calcariidae (Longspurs and Snow Buntings),44652,3684463,269994768,FALSE,TRUE
Lesser Blue-eared Starling,Lamprotornis chloropterus,Passeriformes,Sturnidae (Starlings),39116,3683435,386573241,TRUE,FALSE
Pied Cuckoo,Clamator jacobinus,Cuculiformes,Cuculidae (Cuckoos),36137,3681225,329681804,TRUE,FALSE
Reddish Egret,Egretta rufescens,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",42841,3679346,322140296,FALSE,FALSE
Short-toed Snake-Eagle,Circaetus gallicus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",35678,3678056,321550717,TRUE,FALSE
Rufous-chested Dotterel,Charadrius modestus,Charadriiformes,Charadriidae (Plovers and Lapwings),42304,3677663,329630244,TRUE,FALSE
Verditer Flycatcher,Eumyias thalassinus,Passeriformes,Muscicapidae (Old World Flycatchers),40777,3674733,336581264,TRUE,FALSE
Yellow-tinted Honeyeater,Ptilotula flavescens,Passeriformes,Meliphagidae (Honeyeaters),37336,3673927,333893143,TRUE,FALSE
Lesser Spotted Woodpecker,Dryobates minor,Piciformes,Picidae (Woodpeckers),39869,3672184,348799005,TRUE,FALSE
Gray Treepie,Dendrocitta formosae,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",42336,3670613,325204875,TRUE,FALSE
Hepatic Tanager,Piranga flava,Passeriformes,Cardinalidae (Cardinals and Allies),49663,3661051,260590153,TRUE,TRUE
Plum-headed Finch,Neochmia modesta,Passeriformes,Estrildidae (Waxbills and Allies),40981,3657644,292108731,TRUE,FALSE
Grace's Warbler,Setophaga graciae,Passeriformes,Parulidae (New World Warblers),81892,3655458,169926616,FALSE,TRUE
Pale Thrush,Turdus pallidus,Passeriformes,Turdidae (Thrushes and Allies),37748,3652103,314947680,TRUE,FALSE
White-backed Vulture,Gyps africanus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",41337,3650679,310993369,TRUE,FALSE
Cape Starling,Lamprotornis nitens,Passeriformes,Sturnidae (Starlings),43131,3649195,297529365,TRUE,FALSE
Red-fronted Coot,Fulica rufifrons,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",40695,3648612,347668044,FALSE,FALSE
Red-capped Lark,Calandrella cinerea,Passeriformes,Alaudidae (Larks),41717,3647495,325370200,TRUE,FALSE
White-browed Babbler,Pomatostomus superciliosus,Passeriformes,Pomatostomidae (Pseudo-Babblers),44053,3636234,312362939,TRUE,FALSE
Brush Cuckoo,Cacomantis variolosus,Cuculiformes,Cuculidae (Cuckoos),42248,3629657,342692879,TRUE,FALSE
African Fish-Eagle,Haliaeetus vocifer,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",40960,3621519,334315475,TRUE,FALSE
Gray-cowled Wood-Rail,Aramides cajaneus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",38533,3619869,351337926,TRUE,FALSE
Hoatzin,Opisthocomus hoazin,Opisthocomiformes,Opisthocomidae (Hoatzin),43403,3615485,293074995,TRUE,FALSE
Plain Xenops,Xenops minutus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),39944,3613605,305860915,FALSE,FALSE
Splendid Starling,Lamprotornis splendidus,Passeriformes,Sturnidae (Starlings),38576,3607944,290034638,TRUE,FALSE
Striated Grassbird,Megalurus palustris,Passeriformes,Locustellidae (Grassbirds and Allies),37601,3604809,342398066,TRUE,FALSE
